Index	Chr	Start	End	SV_size	SV_Cat	L_Cov	L_Cov_sd	L_Cov_pro	L_Insert	L_Insert_sd	L_Insert_10_percentile	L_Insert_90_percentile	L_Dis_unmap	L_Dis_map	L_Dis_all	L_Dis_unmap_ratio	L_Dis_map_ratio	L_Mapping_q	L_Mapping_q_sd	L_Mapping_pro	L_Mapping_10_percentile	L_Mapping_90_percentile	L_Soft	L_Soft_sd	L_Soft_pro	L_Soft_10_percentile	L_Soft_90_percentile	L_Del	L_Del_sd	L_Del_10_percentile	L_Del_90_percentile	L_Ins	L_Ins_sd	L_Ins_10_percentile	L_Ins_90_percentile	L_Diff	L_Diff_sd	L_Diff_10_percentile	L_Diff_90_percentile	LM_Cov	LM_Cov_sd	LM_Cov_pro	LM_Insert	LM_Insert_sd	LM_Insert_10_percentile	LM_Insert_90_percentile	LM_Dis_unmap	LM_Dis_map	LM_Dis_all	LM_Dis_unmap_ratio	LM_Dis_map_ratio	LM_Mapping_q	LM_Mapping_q_sd	LM_Mapping_pro	LM_Mapping_10_percentile	LM_Mapping_90_percentile	LM_Soft	LM_Soft_sd	LM_Soft_pro	LM_Soft_10_percentile	LM_Soft_90_percentile	LM_Del	LM_Del_sd	LM_Del_10_percentile	LM_Del_90_percentile	LM_Ins	LM_Ins_sd	LM_Ins_10_percentile	LM_Ins_90_percentile	LM_Diff	LM_Diff_sd	LM_Diff_10_percentile	LM_Diff_90_percentile	M_Cov	M_Cov_sd	M_Cov_pro	M_Insert	M_Insert_sd	M_Insert_10_percentile	M_Insert_90_percentile	M_Dis_unmap	M_Dis_map	M_Dis_all	M_Dis_unmap_ratio	M_Dis_map_ratio	M_Mapping_q	M_Mapping_q_sd	M_Mapping_pro	M_Mapping_10_percentile	M_Mapping_90_percentile	M_Soft	M_Soft_sd	M_Soft_pro	M_Soft_10_percentile	M_Soft_90_percentile	M_Del	M_Del_sd	M_Del_10_percentile	M_Del_90_percentile	M_Ins	M_Ins_sd	M_Ins_10_percentile	M_Ins_90_percentile	M_Diff	M_Diff_sd	M_Diff_10_percentile	M_Diff_90_percentile	M_Cov_Cat	M_Homvar	M_Homvar_SV	M_Hetvar	M_Hetvar_SV	M_GCcontent	M_Sine_Line_Ltr_SV	M_Simple_Low_Satellite_SV	RM_Cov	RM_Cov_sd	RM_Cov_pro	RM_Insert	RM_Insert_sd	RM_Insert_10_percentile	RM_Insert_90_percentile	RM_Dis_unmap	RM_Dis_map	RM_Dis_all	RM_Dis_unmap_ratio	RM_Dis_map_ratio	RM_Mapping_q	RM_Mapping_q_sd	RM_Mapping_pro	RM_Mapping_10_percentile	RM_Mapping_90_percentile	RM_Soft	RM_Soft_sd	RM_Soft_pro	RM_Soft_10_percentile	RM_Soft_90_percentile	RM_Del	RM_Del_sd	RM_Del_10_percentile	RM_Del_90_percentile	RM_Ins	RM_Ins_sd	RM_Ins_10_percentile	RM_Ins_90_percentile	RM_Diff	RM_Diff_sd	RM_Diff_10_percentile	RM_Diff_90_percentile	R_Cov	R_Cov_sd	R_Cov_pro	R_Insert	R_Insert_sd	R_Insert_10_percentile	R_Insert_90_percentile	R_Dis_unmap	R_Dis_map	R_Dis_all	R_Dis_unmap_ratio	R_Dis_map_ratio	R_Mapping_q	R_Mapping_q_sd	R_Mapping_pro	R_Mapping_10_percentile	R_Mapping_90_percentile	R_Soft	R_Soft_sd	R_Soft_pro	R_Soft_10_percentile	R_Soft_90_percentile	R_Del	R_Del_sd	R_Del_10_percentile	R_Del_90_percentile	R_Ins	R_Ins_sd	R_Ins_10_percentile	R_Ins_90_percentile	R_Diff	R_Diff_sd	R_Diff_10_percentile	R_Diff_90_percentile
1	1	584262	584314	52	0	113.482857	6.665439	0	429.954064	151.230537	246	607	1	5	283	0.003534	0.017668	1.77931	6.089266	0.910345	0	0	20.527586	34.554119	0.441379	0	60	0.455172	4.459707	0	0	0.096552	0.81783	0	0	-0.358621	4.543791	0	0	110.907407	1.545151	0	438.154412	127.282647	285	601	0	1	136	0	0.007353	4.80292	9.354803	0.781022	0	23	22.620438	36.317459	0.474453	0	60	0.963504	6.463027	0	0	0	0	0	0	-0.963504	6.463027	0	0	110.907407	1.545151	0	438.154412	127.282647	285	601	0	1	136	0	0.007353	4.80292	9.354803	0.781022	0	23	22.620438	36.317459	0.474453	0	60	0.963504	6.463027	0	0	0	0	0	0	-0.963504	6.463027	0	0	2	0	0	0	0	0.339623	1	0	110.907407	1.545151	0	438.154412	127.282647	285	601	0	1	136	0	0.007353	4.80292	9.354803	0.781022	0	23	22.620438	36.317459	0.474453	0	60	0.963504	6.463027	0	0	0	0	0	0	-0.963504	6.463027	0	0	139.094017	19.636693	0	432.923077	134.459332	285	584	0	4	325	0	0.012308	13.81155	13.747097	0.416413	0	27	23.924012	32.02767	0.50152	0	63	0.413374	4.193411	0	0	0.015198	0.227151	0	0	-0.398176	4.189432	0	0
2	1	642337	642389	52	0	63.811429	7.31673	0	440.993289	131.266415	279	601	1	1	149	0.006711	0.006711	0	0	1	0	0	15.620915	26.670259	0.366013	0	49	0	0	0	0	0	0	0	0	0	0	0	0	50.925926	2.099882	0	432.15873	146.04796	251	605	0	0	63	0	0	0	0	1	0	0	19.904762	30.789983	0.460317	0	50	0	0	0	0	0	0	0	0	0	0	0	0	50.925926	2.099882	0	432.15873	146.04796	251	605	0	0	63	0	0	0	0	1	0	0	19.904762	30.789983	0.460317	0	50	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0.358491	1	0	50.925926	2.099882	0	432.15873	146.04796	251	605	0	0	63	0	0	0	0	1	0	0	19.904762	30.789983	0.460317	0	50	0	0	0	0	0	0	0	0	0	0	0	0	42.91453	4.614089	0	431.219512	147.318966	277	622	0	0	123	0	0	0	0	1	0	0	16.065041	26.368368	0.406504	0	51	0.00813	0.090167	0	0	0	0	0	0	-0.00813	0.090167	0	0
3	1	1233857	1233910	53	0	40.451429	4.879251	0	408.151515	140.143685	239	545	4	5	99	0.040404	0.050505	58.009259	10.41072	0.027778	60	60	54.175926	55.654446	0.694444	0	139	0.018519	0.135445	0	0	0.018519	0.135445	0	0	0	0.136717	0	0	28.945455	6.168673	0	397.230769	146.165447	262	562	1	1	52	0.019231	0.019231	59.87037	0.952579	0	60	60	88.277778	63.605926	0.87037	0	179	0.018519	0.136083	0	0	0.055556	0.231212	0	0	0.037037	0.190626	0	0	28.945455	6.168673	0	397.230769	146.165447	262	562	1	1	52	0.019231	0.019231	59.87037	0.952579	0	60	60	88.277778	63.605926	0.87037	0	179	0.018519	0.136083	0	0	0.055556	0.231212	0	0	0.037037	0.190626	0	0	1	0	0	0	0	0.796296	0	0	28.945455	6.168673	0	397.230769	146.165447	262	562	1	1	52	0.019231	0.019231	59.87037	0.952579	0	60	60	88.277778	63.605926	0.87037	0	179	0.018519	0.136083	0	0	0.055556	0.231212	0	0	0.037037	0.190626	0	0	37.786325	7.71362	0	421.5625	118.86045	282	599	1	2	96	0.010417	0.020833	59.565657	3.678846	0	60	60	43.626263	50.915814	0.59596	0	118	0	0	0	0	0.010101	0.100504	0	0	0.010101	0.100504	0	0
4	1	2978779	2978840	61	0	42.851429	7.539823	0	436.293578	168.62298	205	675	2	1	109	0.018349	0.009174	60	0	0	60	60	38.526786	41.065309	0.598214	0	88	0.008929	0.094491	0	0	0.205357	0.405778	0	1	0.196429	0.399082	0	1	36.47619	2.620374	0	413.618182	183.400744	192	665	0	1	55	0	0.018182	60	0	0	60	60	44.821429	50.83131	0.571429	0	132	0	0	0	0	0.375	0.488504	0	1	0.375	0.488504	0	1	36.47619	2.620374	0	413.618182	183.400744	192	665	0	1	55	0	0.018182	60	0	0	60	60	44.821429	50.83131	0.571429	0	132	0	0	0	0	0.375	0.488504	0	1	0.375	0.488504	0	1	1	0	0	0	0	0.709677	0	0	36.47619	2.620374	0	413.618182	183.400744	192	665	0	1	55	0	0.018182	60	0	0	60	60	44.821429	50.83131	0.571429	0	132	0	0	0	0	0.375	0.488504	0	1	0.375	0.488504	0	1	46.985755	3.630399	0	442.176991	171.944563	250	665	0	1	113	0	0.00885	59.869565	1.398757	0	60	60	35.434783	40.449911	0.547826	0	87	0.008696	0.09325	0	0	0.113043	0.344511	0	1	0.104348	0.307049	0	1
5	1	4134436	4134502	66	0	35.508571	4.334665	0	436.959184	158.037247	240	662	1	0	98	0.010204	0	59.888889	1.105542	0	60	60	26.747475	39.343164	0.515152	0	71	0.010101	0.100504	0	0	0.040404	0.197907	0	0	0.030303	0.172292	0	0	48.102941	1.497657	0	438.360656	162.643991	253	662	0	0	61	0	0	60	0	0	60	60	19.95082	26.448961	0.508197	0	52	0	0	0	0	0	0	0	0	0	0	0	0	48.102941	1.497657	0	438.360656	162.643991	253	662	0	0	61	0	0	60	0	0	60	60	19.95082	26.448961	0.508197	0	52	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.402985	0	0	48.102941	1.497657	0	438.360656	162.643991	253	662	0	0	61	0	0	60	0	0	60	60	19.95082	26.448961	0.508197	0	52	0	0	0	0	0	0	0	0	0	0	0	0	44.826211	4.776849	0	449.530435	164.456592	242	717	0	0	115	0	0	59.582609	4.476023	0	60	60	20.513043	29.82327	0.495652	0	56	0	0	0	0	0	0	0	0	0	0	0	0
6	1	5291568	5291639	71	0	49.5	9.543671	0	434.680851	149.966583	257	592	4	5	141	0.028369	0.035461	58.366667	9.701876	0.026667	60	60	23.686667	32.913582	0.513333	0	71	0.26	0.455098	0	1	0	0	0	0	-0.26	0.455098	-1	0	53.821918	1.465743	0	447.203125	155.030277	257	596	3	0	64	0.046875	0	60	0	0	60	60	12.447761	16.29118	0.447761	0	38	0.029851	0.17146	0	0	0	0	0	0	-0.029851	0.17146	0	0	53.821918	1.465743	0	447.203125	155.030277	257	596	3	0	64	0.046875	0	60	0	0	60	60	12.447761	16.29118	0.447761	0	38	0.029851	0.17146	0	0	0	0	0	0	-0.029851	0.17146	0	0	2	0	0	0	0	0.430556	0	0	53.821918	1.465743	0	447.203125	155.030277	257	596	3	0	64	0.046875	0	60	0	0	60	60	12.447761	16.29118	0.447761	0	38	0.029851	0.17146	0	0	0	0	0	0	-0.029851	0.17146	0	0	53.837607	6.963116	0	443.645161	148.822544	257	615	2	1	124	0.016129	0.008065	59.944882	0.62115	0	60	60	12.976378	25.542204	0.393701	0	38	0	0	0	0	0	0	0	0	0	0	0	0
7	1	6046677	6046751	74	0	47.968571	2.503095	0	444.330435	136.540446	271	626	1	2	115	0.008696	0.017391	59.135593	6.7151	0.008475	60	60	20.550847	29.229302	0.508475	0	65	0.008475	0.092057	0	0	0.016949	0.129631	0	0	0.008475	0.092057	0	0	45.855263	2.601046	0	467.046875	145.648569	312	681	2	3	64	0.03125	0.046875	58.84058	7.580205	0.014493	60	60	18.608696	28.082974	0.478261	0	52	0.014493	0.120386	0	0	0.014493	0.120386	0	0	0	0	0	0	45.855263	2.601046	0	467.046875	145.648569	312	681	2	3	64	0.03125	0.046875	58.84058	7.580205	0.014493	60	60	18.608696	28.082974	0.478261	0	52	0.014493	0.120386	0	0	0.014493	0.120386	0	0	0	0	0	0	1	0	0	0	0	0.44	0	0	45.855263	2.601046	0	467.046875	145.648569	312	681	2	3	64	0.03125	0.046875	58.84058	7.580205	0.014493	60	60	18.608696	28.082974	0.478261	0	52	0.014493	0.120386	0	0	0.014493	0.120386	0	0	0	0	0	0	43.626781	2.778544	0	447.679612	141.826199	248	626	3	3	103	0.029126	0.029126	59.266055	6.040975	0.009174	60	60	22.614679	31.54829	0.46789	0	65	0.009174	0.095783	0	0	0.009174	0.095783	0	0	0	0	0	0
8	1	6262723	6262798	75	0	42.805714	5.475862	0	395.101852	126.775314	223	591	0	2	108	0	0.018519	58.828829	8.060988	0.018018	60	60	27.477477	35.067946	0.495495	0	79	0.009009	0.094916	0	0	0	0	0	0	-0.009009	0.094916	0	0	34.051948	5.693709	0	1269158.886	10885824.53	0	601	0	25	88	0	0.284091	23.375	27.877121	0.484375	0	60	63.484375	82.758351	0.453125	0	206	0	0	0	0	0.140625	0.739593	0	0	0.140625	0.739593	0	0	34.051948	5.693709	0	1269158.886	10885824.53	0	601	0	25	88	0	0.284091	23.375	27.877121	0.484375	0	60	63.484375	82.758351	0.453125	0	206	0	0	0	0	0.140625	0.739593	0	0	0.140625	0.739593	0	0	1	0	0	0	0	0.513158	1	0	34.051948	5.693709	0	1269158.886	10885824.53	0	601	0	25	88	0	0.284091	23.375	27.877121	0.484375	0	60	63.484375	82.758351	0.453125	0	206	0	0	0	0	0.140625	0.739593	0	0	0.140625	0.739593	0	0	37.430199	11.42554	0	1774882.519	15929406.96	0	562	0	28	162	0	0.17284	33.970732	28.472194	0.341463	0	60	60.570732	75.771594	0.526829	0	202	0	0	0	0	0.092683	0.590941	0	0	0.092683	0.590941	0	0
9	1	8974590	8974678	88	0	58.317143	4.74562	0	452.34	156.641549	278	651	0	1	150	0	0.006667	57.572368	11.177438	0.026316	60	60	23.144737	30.901126	0.486842	0	68	0.013158	0.114327	0	0	0.013158	0.114327	0	0	0	0	0	0	53.166667	2.289448	0	463.6	134.290226	314	609	0	0	75	0	0	59.28	6.235383	0	60	60	24.28	35.394518	0.493333	0	74	0.013333	0.11547	0	0	0.013333	0.11547	0	0	0	0	0	0	53.166667	2.289448	0	463.6	134.290226	314	609	0	0	75	0	0	59.28	6.235383	0	60	60	24.28	35.394518	0.493333	0	74	0.013333	0.11547	0	0	0.013333	0.11547	0	0	0	0	0	0	2	0	0	0	0	0.348315	1	0	53.166667	2.289448	0	463.6	134.290226	314	609	0	0	75	0	0	59.28	6.235383	0	60	60	24.28	35.394518	0.493333	0	74	0.013333	0.11547	0	0	0.013333	0.11547	0	0	0	0	0	0	57.792023	5.880675	0	437.697842	158.713334	212	625	0	0	139	0	0	58.81295	8.040269	0.007194	60	60	19.402878	31.564225	0.410072	0	55	0.007194	0.084819	0	0	0	0	0	0	-0.007194	0.084819	0	0
10	1	9607983	9608074	91	0	76.242857	8.049339	0	409.340206	160.181011	226	616	1	3	194	0.005155	0.015464	59.653266	4.018314	0	60	60	28.462312	36.569394	0.517588	0	84	0.01005	0.099997	0	0	0.01005	0.099997	0	0	0	0.100504	0	0	80.365591	1.465435	0	418.572816	157.439537	255	639	0	1	103	0	0.009709	59.807692	1.961161	0	60	60	20.951923	30.875377	0.451923	0	58	0.009615	0.098058	0	0	0.019231	0.138	0	0	0.009615	0.098058	0	0	80.365591	1.465435	0	418.572816	157.439537	255	639	0	1	103	0	0.009709	59.807692	1.961161	0	60	60	20.951923	30.875377	0.451923	0	58	0.009615	0.098058	0	0	0.019231	0.138	0	0	0.009615	0.098058	0	0	2	0	0	0	0	0.619565	1	0	80.365591	1.465435	0	418.572816	157.439537	255	639	0	1	103	0	0.009709	59.807692	1.961161	0	60	60	20.951923	30.875377	0.451923	0	58	0.009615	0.098058	0	0	0.019231	0.138	0	0	0.009615	0.098058	0	0	57.840456	7.046593	0	423.136646	166.798325	255	647	1	4	161	0.006211	0.024845	58.945783	6.542408	0.006024	60	60	24.722892	35.05245	0.457831	0	70	0.006024	0.077615	0	0	0.012048	0.109431	0	0	0.006024	0.077615	0	0
