variant	sample	allele	key	value
Deletion::10:9,680,603-9,680,996(393)	10	amb	count	214
Deletion::10:9,680,603-9,680,996(393)	10	ref	count	55
Deletion::10:9,680,603-9,680,996(393)	10	amb	reason_alignmentScore_alignmentScore	29
Deletion::10:9,680,603-9,680,996(393)	10	amb	reason_same_scores	185
Deletion::10:9,680,603-9,680,996(393)	10	ref	reason_alignmentScore	55
Deletion::10:9,680,603-9,680,996(393)	10	amb	alnScore_mean	8260.73831776
Deletion::10:9,680,603-9,680,996(393)	10	amb	alnScore_std	4320.32419352
Deletion::10:9,680,603-9,680,996(393)	10	ref	alnScore_mean	9785.92727273
Deletion::10:9,680,603-9,680,996(393)	10	ref	alnScore_std	5584.88179692
Deletion::10:9,680,603-9,680,996(393)	10	amb	insertSize_mean	4141.31775701
Deletion::10:9,680,603-9,680,996(393)	10	amb	insertSize_std	2157.9014061
Deletion::10:9,680,603-9,680,996(393)	10	ref	insertSize_mean	4895.72727273
Deletion::10:9,680,603-9,680,996(393)	10	ref	insertSize_std	2794.74559879
Deletion::10:14,590,847-14,591,228(381)	10	amb	count	173
Deletion::10:14,590,847-14,591,228(381)	10	ref	count	43
Deletion::10:14,590,847-14,591,228(381)	10	amb	reason_alignmentScore_alignmentScore	26
Deletion::10:14,590,847-14,591,228(381)	10	amb	reason_same_scores	147
Deletion::10:14,590,847-14,591,228(381)	10	ref	reason_alignmentScore	43
Deletion::10:14,590,847-14,591,228(381)	10	amb	alnScore_mean	8364.97109827
Deletion::10:14,590,847-14,591,228(381)	10	amb	alnScore_std	4496.43952199
Deletion::10:14,590,847-14,591,228(381)	10	ref	alnScore_mean	13588.6046512
Deletion::10:14,590,847-14,591,228(381)	10	ref	alnScore_std	5924.86981562
Deletion::10:14,590,847-14,591,228(381)	10	amb	insertSize_mean	4200.38150289
Deletion::10:14,590,847-14,591,228(381)	10	amb	insertSize_std	2253.02896802
Deletion::10:14,590,847-14,591,228(381)	10	ref	insertSize_mean	6814.53488372
Deletion::10:14,590,847-14,591,228(381)	10	ref	insertSize_std	2971.61941089
Deletion::10:17,428,605-17,428,993(388)	10	amb	count	171
Deletion::10:17,428,605-17,428,993(388)	10	ref	count	25
Deletion::10:17,428,605-17,428,993(388)	10	amb	reason_alignmentScore_alignmentScore	2
Deletion::10:17,428,605-17,428,993(388)	10	amb	reason_same_scores	169
Deletion::10:17,428,605-17,428,993(388)	10	ref	reason_alignmentScore	25
Deletion::10:17,428,605-17,428,993(388)	10	amb	alnScore_mean	7043.01169591
Deletion::10:17,428,605-17,428,993(388)	10	amb	alnScore_std	3694.36015713
Deletion::10:17,428,605-17,428,993(388)	10	ref	alnScore_mean	8140.68
Deletion::10:17,428,605-17,428,993(388)	10	ref	alnScore_std	2975.22545996
Deletion::10:17,428,605-17,428,993(388)	10	amb	insertSize_mean	3533.71345029
Deletion::10:17,428,605-17,428,993(388)	10	amb	insertSize_std	1852.44565855
Deletion::10:17,428,605-17,428,993(388)	10	ref	insertSize_mean	4077.36
Deletion::10:17,428,605-17,428,993(388)	10	ref	insertSize_std	1490.67675584
Deletion::10:25,679,130-25,680,745(1615)	10	amb	count	222
Deletion::10:25,679,130-25,680,745(1615)	10	ref	count	61
Deletion::10:25,679,130-25,680,745(1615)	10	amb	reason_alignmentScore_alignmentScore	5
Deletion::10:25,679,130-25,680,745(1615)	10	amb	reason_same_scores	217
Deletion::10:25,679,130-25,680,745(1615)	10	ref	reason_alignmentScore	61
Deletion::10:25,679,130-25,680,745(1615)	10	amb	alnScore_mean	8688.43693694
Deletion::10:25,679,130-25,680,745(1615)	10	amb	alnScore_std	4297.71553638
Deletion::10:25,679,130-25,680,745(1615)	10	ref	alnScore_mean	9428.78688525
Deletion::10:25,679,130-25,680,745(1615)	10	ref	alnScore_std	4815.59238688
Deletion::10:25,679,130-25,680,745(1615)	10	amb	insertSize_mean	4376.83783784
Deletion::10:25,679,130-25,680,745(1615)	10	amb	insertSize_std	2164.99313833
Deletion::10:25,679,130-25,680,745(1615)	10	ref	insertSize_mean	4766.78688525
Deletion::10:25,679,130-25,680,745(1615)	10	ref	insertSize_std	2433.08399803
Deletion::10:26,694,157-26,694,487(330)	10	amb	count	145
Deletion::10:26,694,157-26,694,487(330)	10	ref	count	4
Deletion::10:26,694,157-26,694,487(330)	10	amb	reason_alignmentScore_alignmentScore	7
Deletion::10:26,694,157-26,694,487(330)	10	amb	reason_same_scores	138
Deletion::10:26,694,157-26,694,487(330)	10	ref	reason_alignmentScore	4
Deletion::10:26,694,157-26,694,487(330)	10	amb	alnScore_mean	8552.15172414
Deletion::10:26,694,157-26,694,487(330)	10	amb	alnScore_std	4358.92379051
Deletion::10:26,694,157-26,694,487(330)	10	ref	alnScore_mean	7482.5
Deletion::10:26,694,157-26,694,487(330)	10	ref	alnScore_std	2638.11130357
Deletion::10:26,694,157-26,694,487(330)	10	amb	insertSize_mean	4295.84137931
Deletion::10:26,694,157-26,694,487(330)	10	amb	insertSize_std	2187.05546553
Deletion::10:26,694,157-26,694,487(330)	10	ref	insertSize_mean	3748.25
Deletion::10:26,694,157-26,694,487(330)	10	ref	insertSize_std	1320.38883951
Deletion::10:35,563,325-35,563,984(659)	10	amb	count	212
Deletion::10:35,563,325-35,563,984(659)	10	ref	count	34
Deletion::10:35,563,325-35,563,984(659)	10	amb	reason_alignmentScore_alignmentScore	12
Deletion::10:35,563,325-35,563,984(659)	10	amb	reason_same_scores	200
Deletion::10:35,563,325-35,563,984(659)	10	ref	reason_alignmentScore	34
Deletion::10:35,563,325-35,563,984(659)	10	amb	alnScore_mean	6491.65566038
Deletion::10:35,563,325-35,563,984(659)	10	amb	alnScore_std	3137.5521689
Deletion::10:35,563,325-35,563,984(659)	10	ref	alnScore_mean	7123.82352941
Deletion::10:35,563,325-35,563,984(659)	10	ref	alnScore_std	3533.23482404
Deletion::10:35,563,325-35,563,984(659)	10	amb	insertSize_mean	3261.88207547
Deletion::10:35,563,325-35,563,984(659)	10	amb	insertSize_std	1568.87420587
Deletion::10:35,563,325-35,563,984(659)	10	ref	insertSize_mean	3574.76470588
Deletion::10:35,563,325-35,563,984(659)	10	ref	insertSize_std	1764.37069366
Deletion::10:36,002,938-36,003,376(438)	10	amb	count	239
Deletion::10:36,002,938-36,003,376(438)	10	ref	count	56
Deletion::10:36,002,938-36,003,376(438)	10	amb	reason_alignmentScore_alignmentScore	31
Deletion::10:36,002,938-36,003,376(438)	10	amb	reason_same_scores	208
Deletion::10:36,002,938-36,003,376(438)	10	ref	reason_alignmentScore	56
Deletion::10:36,002,938-36,003,376(438)	10	amb	alnScore_mean	7838.47698745
Deletion::10:36,002,938-36,003,376(438)	10	amb	alnScore_std	3401.48836093
Deletion::10:36,002,938-36,003,376(438)	10	ref	alnScore_mean	10397.8928571
Deletion::10:36,002,938-36,003,376(438)	10	ref	alnScore_std	5303.98743426
Deletion::10:36,002,938-36,003,376(438)	10	amb	insertSize_mean	3952.9748954
Deletion::10:36,002,938-36,003,376(438)	10	amb	insertSize_std	1711.33265726
Deletion::10:36,002,938-36,003,376(438)	10	ref	insertSize_mean	5232.78571429
Deletion::10:36,002,938-36,003,376(438)	10	ref	insertSize_std	2664.94213093
Deletion::10:49,457,843-49,458,434(591)	10	amb	count	166
Deletion::10:49,457,843-49,458,434(591)	10	ref	count	48
Deletion::10:49,457,843-49,458,434(591)	10	amb	reason_alignmentScore_alignmentScore	17
Deletion::10:49,457,843-49,458,434(591)	10	amb	reason_same_scores	149
Deletion::10:49,457,843-49,458,434(591)	10	ref	reason_alignmentScore	48
Deletion::10:49,457,843-49,458,434(591)	10	amb	alnScore_mean	8235.77710843
Deletion::10:49,457,843-49,458,434(591)	10	amb	alnScore_std	4090.67480864
Deletion::10:49,457,843-49,458,434(591)	10	ref	alnScore_mean	12946.7708333
Deletion::10:49,457,843-49,458,434(591)	10	ref	alnScore_std	6175.91604285
Deletion::10:49,457,843-49,458,434(591)	10	amb	insertSize_mean	4166.91566265
Deletion::10:49,457,843-49,458,434(591)	10	amb	insertSize_std	2071.95404078
Deletion::10:49,457,843-49,458,434(591)	10	ref	insertSize_mean	6487.22916667
Deletion::10:49,457,843-49,458,434(591)	10	ref	insertSize_std	3092.63335902
Deletion::10:53,615,592-53,616,082(490)	10	amb	count	145
Deletion::10:53,615,592-53,616,082(490)	10	ref	count	12
Deletion::10:53,615,592-53,616,082(490)	10	amb	reason_alignmentScore_alignmentScore	11
Deletion::10:53,615,592-53,616,082(490)	10	amb	reason_same_scores	134
Deletion::10:53,615,592-53,616,082(490)	10	ref	reason_alignmentScore	12
Deletion::10:53,615,592-53,616,082(490)	10	amb	alnScore_mean	6661.28275862
Deletion::10:53,615,592-53,616,082(490)	10	amb	alnScore_std	3482.36152276
Deletion::10:53,615,592-53,616,082(490)	10	ref	alnScore_mean	7895.33333333
Deletion::10:53,615,592-53,616,082(490)	10	ref	alnScore_std	3751.86521021
Deletion::10:53,615,592-53,616,082(490)	10	amb	insertSize_mean	3340.11034483
Deletion::10:53,615,592-53,616,082(490)	10	amb	insertSize_std	1744.70905041
