variant	sample	allele	key	value
Deletion::21:10,969,140-10,969,438(298)	21	alt	count	103
Deletion::21:10,969,140-10,969,438(298)	21	amb	count	1908
Deletion::21:10,969,140-10,969,438(298)	21	ref	count	363
Deletion::21:10,969,140-10,969,438(298)	21	alt	reason_alignmentScore	36
Deletion::21:10,969,140-10,969,438(298)	21	alt	reason_insertSizeScore	67
Deletion::21:10,969,140-10,969,438(298)	21	amb	reason_alignmentScore_alignmentScore	603
Deletion::21:10,969,140-10,969,438(298)	21	amb	reason_multimapping	243
Deletion::21:10,969,140-10,969,438(298)	21	amb	reason_orientation_alignmentScore	4
Deletion::21:10,969,140-10,969,438(298)	21	amb	reason_orientation_orientation	20
Deletion::21:10,969,140-10,969,438(298)	21	amb	reason_same_scores	1038
Deletion::21:10,969,140-10,969,438(298)	21	ref	reason_alignmentScore	363
Deletion::21:10,969,140-10,969,438(298)	21	alt	alnScore_mean	397.242718447
Deletion::21:10,969,140-10,969,438(298)	21	alt	alnScore_std	4.54207090918
Deletion::21:10,969,140-10,969,438(298)	21	amb	alnScore_mean	358.48951782
Deletion::21:10,969,140-10,969,438(298)	21	amb	alnScore_std	59.2578701367
Deletion::21:10,969,140-10,969,438(298)	21	ref	alnScore_mean	397.112947658
Deletion::21:10,969,140-10,969,438(298)	21	ref	alnScore_std	9.90399773834
Deletion::21:10,969,140-10,969,438(298)	21	alt	insertSize_mean	347.660194175
Deletion::21:10,969,140-10,969,438(298)	21	alt	insertSize_std	67.4565021153
Deletion::21:10,969,140-10,969,438(298)	21	amb	insertSize_mean	383.080712788
Deletion::21:10,969,140-10,969,438(298)	21	amb	insertSize_std	235.612971886
Deletion::21:10,969,140-10,969,438(298)	21	ref	insertSize_mean	335.977961433
Deletion::21:10,969,140-10,969,438(298)	21	ref	insertSize_std	78.6590407605
Deletion::21:14,650,763-14,650,844(81)	21	alt	count	110
Deletion::21:14,650,763-14,650,844(81)	21	amb	count	1361
Deletion::21:14,650,763-14,650,844(81)	21	ref	count	288
Deletion::21:14,650,763-14,650,844(81)	21	alt	reason_alignmentScore	109
Deletion::21:14,650,763-14,650,844(81)	21	alt	reason_insertSizeScore	1
Deletion::21:14,650,763-14,650,844(81)	21	amb	reason_alignmentScore_alignmentScore	273
Deletion::21:14,650,763-14,650,844(81)	21	amb	reason_multimapping	53
Deletion::21:14,650,763-14,650,844(81)	21	amb	reason_orientation_orientation	2
Deletion::21:14,650,763-14,650,844(81)	21	amb	reason_same_scores	1033
Deletion::21:14,650,763-14,650,844(81)	21	ref	reason_alignmentScore	288
Deletion::21:14,650,763-14,650,844(81)	21	alt	alnScore_mean	396.7
Deletion::21:14,650,763-14,650,844(81)	21	alt	alnScore_std	2.73545741563
Deletion::21:14,650,763-14,650,844(81)	21	amb	alnScore_mean	373.914768553
Deletion::21:14,650,763-14,650,844(81)	21	amb	alnScore_std	51.8139022388
