Index	Chr	Start	End	SV_size	SV_Cat	L_Cov	L_Cov_sd	L_Cov_pro	L_Del	L_Del_sd	L_Del_10_percentile	L_Del_90_percentile	L_Ins	L_Ins_sd	L_Ins_10_percentile	L_Ins_90_percentile	L_Diff	L_Diff_sd	L_Diff_10_percentile	L_Diff_90_percentile	LM_Cov	LM_Cov_sd	LM_Cov_pro	LM_Del	LM_Del_sd	LM_Del_10_percentile	LM_Del_90_percentile	LM_Ins	LM_Ins_sd	LM_Ins_10_percentile	LM_Ins_90_percentile	LM_Diff	LM_Diff_sd	LM_Diff_10_percentile	LM_Diff_90_percentile	M_Cov	M_Cov_sd	M_Cov_pro	M_Del	M_Del_sd	M_Del_10_percentile	M_Del_90_percentile	M_Ins	M_Ins_sd	M_Ins_10_percentile	M_Ins_90_percentile	M_Diff	M_Diff_sd	M_Diff_10_percentile	M_Diff_90_percentile	M_Cov_Cat	M_Homvar	M_Homvar_SV	M_Hetvar	M_Hetvar_SV	M_GCcontent	M_Sine_Line_Ltr_SV	M_Simple_Low_Satellite_SV	RM_Cov	RM_Cov_sd	RM_Cov_pro	RM_Del	RM_Del_sd	RM_Del_10_percentile	RM_Del_90_percentile	RM_Ins	RM_Ins_sd	RM_Ins_10_percentile	RM_Ins_90_percentile	RM_Diff	RM_Diff_sd	RM_Diff_10_percentile	RM_Diff_90_percentile	R_Cov	R_Cov_sd	R_Cov_pro	R_Del	R_Del_sd	R_Del_10_percentile	R_Del_90_percentile	R_Ins	R_Ins_sd	R_Ins_10_percentile	R_Ins_90_percentile	R_Diff	R_Diff_sd	R_Diff_10_percentile	R_Diff_90_percentile
1	1	584262	584314	52	0	41.588571	2.228208	0	-4.056128	127.983815	-104.89924	63.776905	11.739064	180.906517	-143.58774	187.46467	15.795191	257.739694	-153.05404	238.90067	39.333333	1.317516	0	-3.957671	133.34837	-106.976665	76.172215	11.060072	187.66678	-143.06463	190.00581	15.017743	268.115227	-137.3273	259.627645	39.333333	1.317516	0	-3.957671	133.34837	-106.976665	76.172215	11.060072	187.66678	-143.06463	190.00581	15.017743	268.115227	-137.3273	259.627645	2	0	0	0	0	0.339623	1	0	39.333333	1.317516	0	-3.957671	133.34837	-106.976665	76.172215	11.060072	187.66678	-143.06463	190.00581	15.017743	268.115227	-137.3273	259.627645	37.809117	2.536708	0	-8.631474	127.047454	-106.976665	63.776905	18.443131	187.686445	-133.53457	217.04198	27.074605	262.832709	-132.420405	270.18713
2	1	642337	642389	52	0	32.057143	4.893378	0	-32.178223	95.063038	-121.66254	45.367215	22.282164	181.917599	-141.68604	250.38565	54.460387	235.027234	-138.96408	330.79244	24.111111	1.00314	0	-34.197732	104.562628	-129.548505	56.912175	29.148299	196.418824	-146.88731	275.25547	63.346032	254.998433	-157.849795	373.504825	24.111111	1.00314	0	-34.197732	104.562628	-129.548505	56.912175	29.148299	196.418824	-146.88731	275.25547	63.346032	254.998433	-157.849795	373.504825	2	0	0	0	0	0.358491	1	0	24.111111	1.00314	0	-34.197732	104.562628	-129.548505	56.912175	29.148299	196.418824	-146.88731	275.25547	63.346032	254.998433	-157.849795	373.504825	22.509972	1.041585	0	-33.977844	101.433804	-126.807105	42.751795	32.903738	199.967194	-146.47418	288.57557	66.881582	256.050479	-149.462165	373.504825
3	1	1233857	1233910	53	0	8.411429	0.71166	0	-6.355915	51.167457	-46.85942	48.67227	47.206547	112.422603	-98.48162	152.98262	53.562463	125.795115	-74.09687	179.37503	8.236364	0.744452	0	5.310424	37.598871	-46.85942	49.23703	51.704434	124.304752	-113.19872	251.56612	46.394011	131.432286	-122.96224	298.42554	8.236364	0.744452	0	5.310424	37.598871	-46.85942	49.23703	51.704434	124.304752	-113.19872	251.56612	46.394011	131.432286	-122.96224	298.42554	0	0	0	0	0	0.796296	0	0	8.236364	0.744452	0	5.310424	37.598871	-46.85942	49.23703	51.704434	124.304752	-113.19872	251.56612	46.394011	131.432286	-122.96224	298.42554	8.267806	0.836363	0.008547	30.836875	88.162334	-46.85942	49.23703	40.42875	122.499916	-113.19872	152.98262	9.591875	169.997161	-321.627345	132.77479
4	1	2978779	2978840	61	0	9	1.012812	0	14.88963	161.154838	-66.843825	126.185375	-27.574216	129.107106	-156.22707	90.03622	-42.463846	240.066993	-140.927625	154.35599	9.206349	0.786145	0	26.973629	174.17873	-66.843825	126.185375	-64.979294	93.360601	-167.80275	76.63542	-91.952923	221.799631	-663.774875	105.03239	9.206349	0.786145	0	26.973629	174.17873	-66.843825	126.185375	-64.979294	93.360601	-167.80275	76.63542	-91.952923	221.799631	-663.774875	105.03239	1	0	0	0	0	0.709677	0	0	9.206349	0.786145	0	26.973629	174.17873	-66.843825	126.185375	-64.979294	93.360601	-167.80275	76.63542	-91.952923	221.799631	-663.774875	105.03239	8.840456	0.79833	0	27.993583	165.275074	-64.31977	126.185375	-57.837933	91.681902	-156.22707	76.63542	-85.831515	211.394788	-140.927625	105.03239
5	1	4134436	4134502	66	0	16.508571	2.488641	0	-36.823733	81.323788	-156.867275	70.915605	29.635787	272.203825	-162.3478	83.99397	66.45952	322.291243	-158.276105	172.155275	15.382353	0.69173	0	-42.569139	97.360345	-169.49663	79.26479	61.876932	321.108606	-162.3478	119.30565	104.446071	380.325235	-234.640095	276.172925	15.382353	0.69173	0	-42.569139	97.360345	-169.49663	79.26479	61.876932	321.108606	-162.3478	119.30565	104.446071	380.325235	-234.640095	276.172925	1	0	0	0	0	0.402985	0	0	15.382353	0.69173	0	-42.569139	97.360345	-169.49663	79.26479	61.876932	321.108606	-162.3478	119.30565	104.446071	380.325235	-234.640095	276.172925	14.592593	0.882757	0	-36.830071	96.85127	-169.49663	79.26479	53.866071	313.231935	-162.3478	119.30565	90.696141	372.606185	-234.640095	276.172925
6	1	5291568	5291639	71	0	17.737143	2.398553	0	-38.110857	65.583098	-119.24356	36.611325	-18.122687	126.993991	-141.04584	107.18715	19.98817	165.373219	-126.393235	179.84186	15.452055	0.882564	0	-43.245633	72.502177	-152.785095	45.12421	-15.440024	146.104966	-148.61006	186.01417	27.805609	188.144204	-193.73427	338.799265	15.452055	0.882564	0	-43.245633	72.502177	-152.785095	45.12421	-15.440024	146.104966	-148.61006	186.01417	27.805609	188.144204	-193.73427	338.799265	1	0	0	0	0	0.430556	0	0	15.452055	0.882564	0	-43.245633	72.502177	-152.785095	45.12421	-15.440024	146.104966	-148.61006	186.01417	27.805609	188.144204	-193.73427	338.799265	14.324786	1.109665	0	-40.749932	68.500985	-152.785095	45.12421	-16.353877	144.682145	-156.96796	186.01417	24.396055	183.126952	-193.73427	338.799265
7	1	6046677	6046751	74	0	23.791429	1.135232	0	2.502364	159.81447	-133.28736	271.16613	26.485923	177.228031	-199.18346	287.02335	23.983559	299.688291	-425.03731	361.657575	22.302632	1.523327	0	-5.260665	157.702445	-133.28736	271.16613	35.165514	174.78773	-153.87118	287.02335	40.426179	292.940084	-425.03731	361.657575	22.302632	1.523327	0	-5.260665	157.702445	-133.28736	271.16613	35.165514	174.78773	-153.87118	287.02335	40.426179	292.940084	-425.03731	361.657575	2	0	0	0	0	0.44	0	0	22.302632	1.523327	0	-5.260665	157.702445	-133.28736	271.16613	35.165514	174.78773	-153.87118	287.02335	40.426179	292.940084	-425.03731	361.657575	22.079772	1.603359	0	-9.418499	155.385939	-133.28736	271.16613	31.016106	173.51707	-153.87118	287.02335	40.434605	287.571852	-425.03731	361.657575
8	1	6262723	6262798	75	0	26.38	4.575524	0	-1.442534	61.829197	-44.64462	59.073	-28.317604	70.45379	-109.4606	8.67675	-26.87507	94.479144	-146.814325	44.329825	24.857143	2.088277	0	-4.712336	64.586795	-45.395975	66.715075	-25.801551	78.048518	-110.64031	17.70738	-21.089214	101.590975	-148.867595	59.271335	24.857143	2.088277	0	-4.712336	64.586795	-45.395975	66.715075	-25.801551	78.048518	-110.64031	17.70738	-21.089214	101.590975	-148.867595	59.271335	2	0	0	0	0	0.513158	1	0	24.857143	2.088277	0	-4.712336	64.586795	-45.395975	66.715075	-25.801551	78.048518	-110.64031	17.70738	-21.089214	101.590975	-148.867595	59.271335	24.230769	1.171455	0	-1.903567	23.067183	-5.055525	6.61387	-4.229654	31.237823	-9.12073	4.7322	-2.326086	35.967566	-12.796055	8.321845
9	1	8974590	8974678	88	0	16.622857	2.595023	0	1.052845	41.362001	-9.463445	17.123215	-11.058513	46.289835	-70.07207	18.4121	-12.111358	59.437394	-69.95841	20.82622	13.077778	0.985602	0	5.900334	83.040566	-135.16857	117.381925	-32.374295	84.324645	-117.19948	107.72997	-38.274629	111.595258	-184.537385	49.71645	13.077778	0.985602	0	5.900334	83.040566	-135.16857	117.381925	-32.374295	84.324645	-117.19948	107.72997	-38.274629	111.595258	-184.537385	49.71645	1	0	0	0	0	0.348315	1	0	13.077778	0.985602	0	5.900334	83.040566	-135.16857	117.381925	-32.374295	84.324645	-117.19948	107.72997	-38.274629	111.595258	-184.537385	49.71645	14.561254	1.221747	0	-17.261795	88.203447	-149.80755	112.177855	-36.42963	83.106391	-172.25439	58.45848	-19.167835	98.72033	-88.084055	79.67516
10	1	9607983	9608074	91	0	23.054286	1.886438	0	32.002143	78.934531	-77.51499	129.45006	21.5732	160.82006	-92.49916	185.06794	-10.428943	192.700563	-184.603705	233.01673	21.290323	1.748171	0	32.238487	74.80162	-64.59894	129.45006	22.368518	158.785505	-92.49916	185.06794	-9.869969	189.321894	-184.603705	233.01673	21.290323	1.748171	0	32.238487	74.80162	-64.59894	129.45006	22.368518	158.785505	-92.49916	185.06794	-9.869969	189.321894	-184.603705	233.01673	2	0	0	0	0	0.619565	1	0	21.290323	1.748171	0	32.238487	74.80162	-64.59894	129.45006	22.368518	158.785505	-92.49916	185.06794	-9.869969	189.321894	-184.603705	233.01673	19.635328	3.361684	0	22.863443	62.816423	-47.94879	122.051985	14.111566	129.080656	-63.42633	109.99576	-8.751877	153.963749	-178.36322	129.960465
