Index	Chr	Start	End	SV_size	SV_Cat	L_Cov	L_Cov_sd	L_Cov_pro	L_Insert	L_Insert_sd	L_Insert_10_percentile	L_Insert_90_percentile	L_Dis_unmap	L_Dis_map	L_Dis_all	L_Dis_unmap_ratio	L_Dis_map_ratio	L_Mapping_q	L_Mapping_q_sd	L_Mapping_pro	L_Mapping_10_percentile	L_Mapping_90_percentile	L_Soft	L_Soft_sd	L_Soft_pro	L_Soft_10_percentile	L_Soft_90_percentile	L_Del	L_Del_sd	L_Del_10_percentile	L_Del_90_percentile	L_Ins	L_Ins_sd	L_Ins_10_percentile	L_Ins_90_percentile	L_Diff	L_Diff_sd	L_Diff_10_percentile	L_Diff_90_percentile	LM_Cov	LM_Cov_sd	LM_Cov_pro	LM_Insert	LM_Insert_sd	LM_Insert_10_percentile	LM_Insert_90_percentile	LM_Dis_unmap	LM_Dis_map	LM_Dis_all	LM_Dis_unmap_ratio	LM_Dis_map_ratio	LM_Mapping_q	LM_Mapping_q_sd	LM_Mapping_pro	LM_Mapping_10_percentile	LM_Mapping_90_percentile	LM_Soft	LM_Soft_sd	LM_Soft_pro	LM_Soft_10_percentile	LM_Soft_90_percentile	LM_Del	LM_Del_sd	LM_Del_10_percentile	LM_Del_90_percentile	LM_Ins	LM_Ins_sd	LM_Ins_10_percentile	LM_Ins_90_percentile	LM_Diff	LM_Diff_sd	LM_Diff_10_percentile	LM_Diff_90_percentile	M_Cov	M_Cov_sd	M_Cov_pro	M_Insert	M_Insert_sd	M_Insert_10_percentile	M_Insert_90_percentile	M_Dis_unmap	M_Dis_map	M_Dis_all	M_Dis_unmap_ratio	M_Dis_map_ratio	M_Mapping_q	M_Mapping_q_sd	M_Mapping_pro	M_Mapping_10_percentile	M_Mapping_90_percentile	M_Soft	M_Soft_sd	M_Soft_pro	M_Soft_10_percentile	M_Soft_90_percentile	M_Del	M_Del_sd	M_Del_10_percentile	M_Del_90_percentile	M_Ins	M_Ins_sd	M_Ins_10_percentile	M_Ins_90_percentile	M_Diff	M_Diff_sd	M_Diff_10_percentile	M_Diff_90_percentile	M_Cov_Cat	M_Homvar	M_Homvar_SV	M_Hetvar	M_Hetvar_SV	M_GCcontent	M_Sine_Line_Ltr_SV	M_Simple_Low_Satellite_SV	RM_Cov	RM_Cov_sd	RM_Cov_pro	RM_Insert	RM_Insert_sd	RM_Insert_10_percentile	RM_Insert_90_percentile	RM_Dis_unmap	RM_Dis_map	RM_Dis_all	RM_Dis_unmap_ratio	RM_Dis_map_ratio	RM_Mapping_q	RM_Mapping_q_sd	RM_Mapping_pro	RM_Mapping_10_percentile	RM_Mapping_90_percentile	RM_Soft	RM_Soft_sd	RM_Soft_pro	RM_Soft_10_percentile	RM_Soft_90_percentile	RM_Del	RM_Del_sd	RM_Del_10_percentile	RM_Del_90_percentile	RM_Ins	RM_Ins_sd	RM_Ins_10_percentile	RM_Ins_90_percentile	RM_Diff	RM_Diff_sd	RM_Diff_10_percentile	RM_Diff_90_percentile	R_Cov	R_Cov_sd	R_Cov_pro	R_Insert	R_Insert_sd	R_Insert_10_percentile	R_Insert_90_percentile	R_Dis_unmap	R_Dis_map	R_Dis_all	R_Dis_unmap_ratio	R_Dis_map_ratio	R_Mapping_q	R_Mapping_q_sd	R_Mapping_pro	R_Mapping_10_percentile	R_Mapping_90_percentile	R_Soft	R_Soft_sd	R_Soft_pro	R_Soft_10_percentile	R_Soft_90_percentile	R_Del	R_Del_sd	R_Del_10_percentile	R_Del_90_percentile	R_Ins	R_Ins_sd	R_Ins_10_percentile	R_Ins_90_percentile	R_Diff	R_Diff_sd	R_Diff_10_percentile	R_Diff_90_percentile
1	1	3330910	3331753	843	1	48.974286	3.369664	0	419.833333	117.851376	276	565	3	3	120	0.025	0.025	59.436508	5.426595	0.007937	60	60	31.769841	37.140202	0.571429	0	78	0.007937	0.089087	0	0	0.015873	0.125483	0	0	0.007937	0.089087	0	0	34.185185	8.255381	0	417.475248	144.393116	223	623	2	1	101	0.019802	0.009901	59.423077	5.883484	0.009615	60	60	43.25	47.288363	0.605769	0	102	0	0	0	0	0	0	0	0	0	0	0	0	35.849704	6.792796	0	430.243094	149.627153	228	636	4	3	181	0.022099	0.016575	58.867725	7.893471	0.015873	60	60	45.714286	52.123859	0.608466	0	110	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0.001185	1	0.001185	0.657583	0	0	38.250712	5.711126	0	431.966292	155.120221	242	637	3	1	89	0.033708	0.011236	59	7.080186	0.010638	60	60	45.968085	55.781342	0.595745	0	128	0	0	0	0	0	0	0	0	0	0	0	0	36.666667	8.145112	0	407.636364	140.314675	190	615	4	6	77	0.051948	0.077922	57.954545	10.950158	0.034091	60	60	36.261364	43.39593	0.534091	0	101	0.022727	0.149887	0	0	0	0	0	0	-0.022727	0.149887	0	0
2	1	8660938	8661104	166	1	45.408571	6.62862	0	438.492424	173.114686	226	667	0	5	132	0	0.037879	55.79562	12.762617	0.021898	48	60	50.452555	58.487426	0.642336	0	143	0.474453	1.2431	0	4	0.007299	0.085436	0	0	-0.467153	1.225052	-3	0	35.482143	7.745173	0	394.731959	161.007344	186	597	0	3	97	0	0.030928	54.722772	14.04786	0.029703	40	60	70.574257	58.705425	0.782178	0	159	0.544554	1.3306	0	4	0.227723	0.81094	0	0	-0.316832	1.612022	-4	0	35.482143	7.745173	0	394.731959	161.007344	186	597	0	3	97	0	0.030928	54.722772	14.04786	0.029703	40	60	70.574257	58.705425	0.782178	0	159	0.544554	1.3306	0	4	0.227723	0.81094	0	0	-0.316832	1.612022	-4	0	1	0	0	0	0	0.467066	0.994012	0	35.482143	7.745173	0	394.731959	161.007344	186	597	0	3	97	0	0.030928	54.722772	14.04786	0.029703	40	60	70.574257	58.705425	0.782178	0	159	0.544554	1.3306	0	4	0.227723	0.81094	0	0	-0.316832	1.612022	-4	0	65.339031	10.37919	0	412.821192	155.196911	197	607	0	4	151	0	0.02649	59.251613	6.570886	0.006452	60	60	42.716129	47.033941	0.63871	0	111	0.006452	0.080322	0	0	0.141935	0.658991	0	0	0.135484	0.665255	0	0
3	1	10928376	10928689	313	1	52.791429	4.896573	0	424.888112	152.498308	233	596	4	3	143	0.027972	0.020979	58.52	9.061846	0.02	60	60	33.726667	42.566316	0.506667	0	92	0.006667	0.08165	0	0	0.026667	0.161647	0	0	0.02	0.182083	0	0	54.231746	5.544861	0	412.276923	139.744951	248	569	1	0	130	0.007692	0	60	0	0	60	60	22.40458	28.211776	0.48855	0	63	0.007634	0.08737	0	0	0.022901	0.150161	0	0	0.015267	0.174741	0	0	54.231746	5.544861	0	412.276923	139.744951	248	569	1	0	130	0.007692	0	60	0	0	60	60	22.40458	28.211776	0.48855	0	63	0.007634	0.08737	0	0	0.022901	0.150161	0	0	0.015267	0.174741	0	0	2	0	0	0	0	0.557325	0.433121	0	54.231746	5.544861	0	412.276923	139.744951	248	569	1	0	130	0.007692	0	60	0	0	60	60	22.40458	28.211776	0.48855	0	63	0.007634	0.08737	0	0	0.022901	0.150161	0	0	0.015267	0.174741	0	0	55.324786	4.681567	0	394.569231	120.791635	217	561	3	3	130	0.023077	0.023077	58.602941	8.854611	0.022059	60	60	20.147059	28.513422	0.433824	0	62	0	0	0	0	0.014706	0.120818	0	0	0.014706	0.120818	0	0
4	1	11574780	11575114	334	1	51.054286	3.365069	0	419.685039	147.230286	224	594	1	0	127	0.007874	0	59.851562	1.1977	0	60	60	23.304688	33.523422	0.4375	0	70	0.007812	0.088388	0	0	0	0	0	0	-0.007812	0.088388	0	0	51.333333	6.248263	0	443.222222	130.736492	297	609	0	3	126	0	0.02381	60	0	0	60	60	25.837209	32.925055	0.534884	0	73	0.015504	0.124027	0	0	0	0	0	0	-0.015504	0.124027	0	0	51.333333	6.248263	0	443.222222	130.736492	297	609	0	3	126	0	0.02381	60	0	0	60	60	25.837209	32.925055	0.534884	0	73	0.015504	0.124027	0	0	0	0	0	0	-0.015504	0.124027	0	0	2	0	0	2	0.00597	0.483582	0.113433	0	51.333333	6.248263	0	443.222222	130.736492	297	609	0	3	126	0	0.02381	60	0	0	60	60	25.837209	32.925055	0.534884	0	73	0.015504	0.124027	0	0	0	0	0	0	-0.015504	0.124027	0	0	47.452991	2.69018	0	436.661157	134.933228	308	611	0	3	121	0	0.024793	60	0	0	60	60	24.65873	33.490575	0.52381	0	77	0	0	0	0	0.007937	0.089087	0	0	0.007937	0.089087	0	0
5	1	11888127	11888783	656	1	42.454286	5.978656	0	422.410714	120.835571	257	565	0	2	112	0	0.017857	59.843478	1.411676	0	60	60	29.565217	35.768537	0.565217	0	86	0	0	0	0	0.521739	3.938893	0	0	0.521739	3.938893	0	0	52.293447	2.71334	0	424.015038	156.73791	230	609	0	1	133	0	0.007519	60	0	0	60	60	21.619403	34.46864	0.440299	0	62	0	0	0	0	0	0	0	0	0	0	0	0	52.577508	3.77175	0	419.214634	154.424875	230	609	2	3	205	0.009756	0.014634	59.428571	5.841376	0.009524	60	60	25.261905	36.495828	0.480952	0	78	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0.001522	0.526636	0	0	52.410256	4.625063	0	420.37594	164.863516	214	622	2	2	133	0.015038	0.015038	59.124088	7.222764	0.014599	60	60	25.547445	34.297353	0.50365	0	80	0	0	0	0	0	0	0	0	0	0	0	0	54.02849	4.640725	0	409.262069	142.134523	240	606	2	1	145	0.013793	0.006897	59.864865	1.64399	0	60	60	26.013514	33.962562	0.547297	0	84	0	0	0	0	0	0	0	0	0	0	0	0
6	1	14289835	14291289	1454	2	46.74	4.132941	0	394.054688	165.979332	190	629	1	0	128	0.007812	0	59.806202	1.5516	0	60	60	26.03876	38.016116	0.488372	0	73	0	0	0	0	0	0	0	0	0	0	0	0	39.393162	3.372046	0	416.711538	157.642996	224	607	1	2	104	0.009615	0.019231	59.299065	5.965648	0.009346	60	60	24.392523	32.854958	0.485981	0	73	0.813084	2.005327	0	4	0.009346	0.096674	0	0	-0.803738	1.97837	-4	0	46.068681	7.089566	0	433.381232	140.264461	264	581	1	3	341	0.002933	0.008798	59.562319	4.287933	0.002899	60	60	25.976812	35.30687	0.495652	0	78	0.463768	1.532399	0	0	0.028986	0.34821	0	0	-0.434783	1.567088	0	0	1	3	0.002062	3	0.002062	0.426117	0.674914	0.030928	53.239316	3.191013	0	444.485294	126.46352	313	581	0	0	136	0	0	60	0	0	60	60	28.566176	37.017854	0.514706	0	79	0.007353	0.085749	0	0	0.007353	0.085749	0	0	0	0.121716	0	0	36.65812	4.350689	0	435.679612	145.964555	191	581	0	0	103	0	0	59.669903	2.357251	0	60	60	36.116505	42.240047	0.543689	0	94	0.019417	0.138662	0	0	0.009709	0.098533	0	0	-0.009709	0.098533	0	0
7	1	14982175	14984238	2063	2	58.32	4.752366	0	422.875912	138.432371	215	597	2	3	137	0.014599	0.021898	59.267606	6.222717	0.007042	60	60	18.387324	24.651859	0.478873	0	53	0	0	0	0	0	0	0	0	0	0	0	0	54.575499	2.94897	0	430.240602	128.514658	282	604	1	2	133	0.007519	0.015038	59.397059	5.200113	0	60	60	18.441176	23.417867	0.485294	0	59	0	0	0	0	0	0	0	0	0	0	0	0	43.161743	9.04382	0	422.279379	132.501176	237	591	2	8	451	0.004435	0.017738	58.717063	7.554697	0.010799	60	60	30.170626	39.509808	0.559395	0	75	0.025918	0.22644	0	0	0.023758	0.221851	0	0	-0.00216	0.180175	0	0	1	0	0	1	0.000484	0.516957	0.671027	0	47.08547	3.96248	0	423.114035	128.142396	266	590	0	1	114	0	0.008772	59.181034	6.42495	0.008621	60	60	27.862069	30.166753	0.560345	0	75	0.034483	0.371391	0	0	0.034483	0.371391	0	0	0	0	0	0	41.464387	4.155308	0	425.708738	131.309963	244	598	1	2	103	0.009709	0.019417	59.075472	6.56063	0.009434	60	60	20.528302	31.155893	0.471698	0	58	0	0	0	0	0	0	0	0	0	0	0	0
8	1	19364170	19365468	1298	2	53.514286	4.560774	0	398.753623	143.577788	204	586	0	1	138	0	0.007246	60	0	0	60	60	22.129496	28.248082	0.496403	0	69	0	0	0	0	0	0	0	0	0	0	0	0	52.706553	4.108102	0	400.4	148.048495	206	579	0	3	140	0	0.021429	59.951049	0.585369	0	60	60	26.384615	36.024624	0.51049	0	70	0	0	0	0	0.006993	0.083624	0	0	0.006993	0.083624	0	0	51.441538	6.314966	0	411.487179	148.845574	223	593	3	6	351	0.008547	0.017094	59.433333	5.541035	0.008333	60	60	22.866667	32.880962	0.488889	0	68	0.002778	0.052705	0	0	0.002778	0.052705	0	0	0	0.074639	0	0	2	1	0.00077	1	0.00077	0.535027	0.163202	0	48.615385	3.723699	0	425.916667	147.26627	226	597	3	3	120	0.025	0.025	58.436508	9.286977	0.02381	60	60	15.007937	22.22053	0.436508	0	49	0	0	0	0	0	0	0	0	0	0	0	0	47.153846	5.942508	0	443.672414	124.0778	297	593	3	1	116	0.025862	0.008621	59.358333	5.680271	0.008333	60	60	12.083333	17.782809	0.416667	0	35	0	0	0	0	0	0	0	0	0	0	0	0
9	1	20534278	20534573	295	1	61.214286	2.966348	0	436.602564	147.39592	275	595	0	1	156	0	0.00641	60	0	0	60	60	18.719745	26.237777	0.484076	0	65	0.012739	0.112504	0	0	0	0	0	0	-0.012739	0.112504	0	0	65.239057	6.272534	0	444.209459	127.018519	292	584	0	1	148	0	0.006757	60	0	0	60	60	18.234899	24.087787	0.483221	0	53	0.013423	0.115465	0	0	0.006711	0.081923	0	0	-0.006711	0.081923	0	0	65.239057	6.272534	0	444.209459	127.018519	292	584	0	1	148	0	0.006757	60	0	0	60	60	18.234899	24.087787	0.483221	0	53	0.013423	0.115465	0	0	0.006711	0.081923	0	0	-0.006711	0.081923	0	0	2	0	0	0	0	0.412162	0.351351	0	65.239057	6.272534	0	444.209459	127.018519	292	584	0	1	148	0	0.006757	60	0	0	60	60	18.234899	24.087787	0.483221	0	53	0.013423	0.115465	0	0	0.006711	0.081923	0	0	-0.006711	0.081923	0	0	62.626781	5.383602	0	428.082803	119.469659	253	578	1	3	157	0.006369	0.019108	59.484472	5.053595	0.006211	60	60	17.049689	25.97109	0.42236	0	51	0	0	0	0	0	0	0	0	0	0	0	0
10	1	23974649	23974914	265	1	67.088571	6.215853	0	423.4	147.379764	207	609	0	4	160	0	0.025	59.134146	5.271202	0	60	60	25.762195	36.455008	0.5	0	66	0.006098	0.078087	0	0	0	0	0	0	-0.006098	0.078087	0	0	59.558052	6.489972	0	91883.45802	1047117.866	188	596	0	4	131	0	0.030534	58.169118	9.530112	0.022059	60	60	28.286765	34.970868	0.566176	0	78	0.007353	0.085749	0	0	0.014706	0.120818	0	0	0.007353	0.085749	0	0	59.558052	6.489972	0	91883.45802	1047117.866	188	596	0	4	131	0	0.030534	58.169118	9.530112	0.022059	60	60	28.286765	34.970868	0.566176	0	78	0.007353	0.085749	0	0	0.014706	0.120818	0	0	0.007353	0.085749	0	0	2	0	0	0	0	0.492481	1	0	59.558052	6.489972	0	91883.45802	1047117.866	188	596	0	4	131	0	0.030534	58.169118	9.530112	0.022059	60	60	28.286765	34.970868	0.566176	0	78	0.007353	0.085749	0	0	0.014706	0.120818	0	0	0.007353	0.085749	0	0	63.518519	3.833547	0	70489.72515	916500.9455	240	575	0	4	171	0	0.023392	58.386364	9.121318	0.022727	60	60	28.215909	40.541886	0.505682	0	81	0.005682	0.075378	0	0	0.011364	0.106295	0	0	0.005682	0.075378	0	0
